Corner Connect,,am-0212,8
Angle Bracket,,am-0442,2
T-Brace,,am-0443,2
3/8 x 3 1/2” hex head screw,,am-1122,4
3/8-18 Nylock Nut,,am-1054,4
370 x 375 Spacer,,am-0440,4
985 x 375 Spacer,,am-0441,4
1/4-20 nylock nut,,am-1015,48
1/4-20 x 1.75 SHCS,,am-1058,32
1/4-20 x 5/8” SHCS,,am-1053,16
1/4” Washer,,am-1027,8
"#10 screw, self-tapping",,am-1123,12
765 x 500 Spacer,,am-0452,2
"S35-15DHE, output sprocket, 15-tooth","#35, double sprocket",am-0421,2
"S35-22LE, wheel sprocket, 22-tooth","#35, #10 mntg holes in a 1.875” D circle, 1.1”
bore",am-0245,4
Output shaft,,am-0153,2
Small Hex Shaft,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0152,2
CIM Gear,2/Toughbox x 2 Toughboxes/FRC kit = 4 total,am-0034,4
Large Output Gear,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0150,2
Large Cluster Gear,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0149,2
Small Cluster Gear,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0151,2
1/4-20 nylock nut,4/Toughbox x 2 Toughboxes/FRC kit = 8 total,am-1015,8
1/4-20 x 1/2 BHCS,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-1039,2
1/4-20 x 2” SHCS,4/Toughbox x 2 Toughboxes/FRC kit = 8 total,am-1012,8
1/4” washer,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-1027,2
#10-32 x 5/8” SHCS w/ nylon,4/Toughbox x 2 Toughboxes/FRC kit = 8 total,am-1120,8
FR6ZZ bearing,3/Toughbox x 2 Toughboxes/FRC kit = 6 total,am-0028,6
FR8ZZ bearing,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0030,2
1/8” machine key,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-1043,2
#10-32 x 1/2” SHCS,2/Toughbox x 2 Toughboxes/FRC kit = 4 total,am-1002,4
2 x 2 x 10mm key,2/Toughbox x 2 Toughboxes/FRC kit = 4 total,am-1121,4
5/16” washer,4/Toughbox x 2 Toughboxes/FRC kit = 8 total,am-1009,8
8mm Ring,2/Toughbox x 2 Toughboxes/FRC kit = 4 total,am-0033,4
E-Clip,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0206,2
Encoder mount,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0208,2
Grease pack,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0208,2
